Location,Time,Direction,VehicleType,Speed
Nakkila,2018-04-01 00:47:58,1,passenger_car,83
Vihti,2018-04-01 00:48:00,2,passenger_car,99
Vihti,2018-04-01 00:48:01,1,passenger_car,88
Pori,2018-04-01 00:48:07,1,passenger_car,93
Vihti,2018-04-01 00:48:22,2,passenger_car,114
Vihti,2018-04-01 00:48:25,2,passenger_car,101
Vihti,2018-04-01 00:48:29,1,passenger_car,125
Pori,2018-04-01 00:48:45,2,passenger_car,101
Karkkila,2018-04-01 00:48:46,1,passenger_car,105
Pori,2018-04-01 00:48:46,1,passenger_car,103
Pori,2018-04-01 00:48:49,2,passenger_car,99
Pori,2018-04-01 00:48:50,2,passenger_car,100
Pori,2018-04-01 00:48:56,1,passenger_car,104
Nakkila,2018-04-01 00:49:03,1,passenger_car,78
Nakkila,2018-04-01 00:49:12,2,passenger_car,91
Vihti,2018-04-01 00:49:30,1,passenger_car,89
Pori,2018-04-01 00:49:37,2,passenger_car,104
Pori,2018-04-01 00:50:00,1,passenger_car,117
Pori,2018-04-01 00:50:02,1,passenger_car,94
Pori,2018-04-01 00:50:04,1,passenger_car,91
Pori,2018-04-01 00:50:05,2,passenger_car,97
Pori,2018-04-01 00:50:13,1,passenger_car,94
Pori,2018-04-01 00:50:31,1,passenger_car,112
Pori,2018-04-01 00:50:37,1,passenger_car,102
Pori,2018-04-01 00:50:56,1,passenger_car,96
Vihti,2018-04-01 00:51:17,1,passenger_car,108
Pori,2018-04-01 00:51:21,1,passenger_car,103
Nakkila,2018-04-01 00:51:28,1,passenger_car,78
Pori,2018-04-01 00:51:44,2,passenger_car,99
Pori,2018-04-01 00:52:05,1,passenger_car,104
Pori,2018-04-01 00:52:05,1,passenger_car,111
Nakkila,2018-04-01 00:52:15,1,"passenger_car, trailer",72
Pori,2018-04-01 00:52:36,1,passenger_car,105
Nakkila,2018-04-01 00:52:38,1,passenger_car,70
Nakkila,2018-04-01 00:53:10,2,passenger_car,80
Nakkila,2018-04-01 00:53:25,1,passenger_car,80
Nakkila,2018-04-01 00:53:28,1,passenger_car,76
Vihti,2018-04-01 00:53:49,1,passenger_car,86
Pori,2018-04-01 00:54:42,2,passenger_car,90
Pori,2018-04-01 00:54:43,1,passenger_car,112
Vihti,2018-04-01 00:54:49,1,passenger_car,104
Pori,2018-04-01 00:54:50,2,passenger_car,92
Nakkila,2018-04-01 00:55:14,1,passenger_car,84
Nakkila,2018-04-01 00:55:20,1,passenger_car,77
Nakkila,2018-04-01 00:55:23,1,passenger_car,75
Pori,2018-04-01 00:55:31,1,passenger_car,103
Pori,2018-04-01 00:55:37,1,passenger_car,100
Vihti,2018-04-01 00:55:53,2,passenger_car,111
Pori,2018-04-01 00:56:00,1,passenger_car,105
Pori,2018-04-01 00:56:33,2,passenger_car,87
Pori,2018-04-01 00:56:46,1,passenger_car,102
Vihti,2018-04-01 00:56:51,2,passenger_car,109
Pori,2018-04-01 00:57:02,2,passenger_car,85
Vihti,2018-04-01 00:57:15,1,passenger_car,85
Vihti,2018-04-01 00:57:22,2,passenger_car,106
Pori,2018-04-01 00:58:03,2,passenger_car,101
Nakkila,2018-04-01 00:58:13,1,passenger_car,77
Pori,2018-04-01 00:58:14,1,passenger_car,104
Pori,2018-04-01 00:58:45,1,passenger_car,119
Pori,2018-04-01 00:58:47,1,passenger_car,94
Pori,2018-04-01 00:58:50,1,passenger_car,95
Pori,2018-04-01 00:59:17,1,passenger_car,107
Nakkila,2018-04-01 00:59:19,1,passenger_car,81
Pori,2018-04-01 00:59:24,2,passenger_car,87
Vihti,2018-04-01 00:59:33,1,passenger_car,85
Nakkila,2018-04-01 01:00:12,1,passenger_car,75
Nakkila,2018-04-01 01:00:15,1,passenger_car,82
Vihti,2018-04-01 01:00:31,1,passenger_car,101
Nakkila,2018-04-01 01:00:32,2,passenger_car,83
Pori,2018-04-01 01:00:57,2,passenger_car,98
Nakkila,2018-04-01 01:00:57,1,passenger_car,81
Nakkila,2018-04-01 01:01:01,2,passenger_car,80
Vihti,2018-04-01 01:01:03,1,passenger_car,95
Nakkila,2018-04-01 01:01:03,2,passenger_car,80
Nakkila,2018-04-01 01:01:11,1,passenger_car,81
Vihti,2018-04-01 01:01:17,2,passenger_car,91
Vihti,2018-04-01 01:01:23,1,passenger_car,115
Pori,2018-04-01 01:01:27,1,passenger_car,106
Vihti,2018-04-01 01:01:34,1,passenger_car,78
Pori,2018-04-01 01:01:38,1,"passenger_car, trailer",90
Pori,2018-04-01 01:01:39,1,passenger_car,89
Pori,2018-04-01 01:01:55,1,passenger_car,80
Pori,2018-04-01 01:02:06,2,passenger_car,106
Pori,2018-04-01 01:02:19,1,passenger_car,107
Pori,2018-04-01 01:02:37,2,passenger_car,105
Nakkila,2018-04-01 01:02:38,1,passenger_car,88
Pori,2018-04-01 01:02:44,1,passenger_car,94
Karkkila,2018-04-01 01:02:46,1,passenger_car,80
Vihti,2018-04-01 01:02:49,2,passenger_car,105
Pori,2018-04-01 01:03:04,2,passenger_car,106
Pori,2018-04-01 01:03:10,1,passenger_car,102
Nakkila,2018-04-01 01:03:25,1,passenger_car,81
Vihti,2018-04-01 01:03:33,2,passenger_car,106
Pori,2018-04-01 01:03:37,1,passenger_car,126
Pori,2018-04-01 01:03:37,1,passenger_car,159
Vihti,2018-04-01 01:03:53,2,passenger_car,102
Pori,2018-04-01 01:04:07,1,passenger_car,104
Vihti,2018-04-01 01:04:12,1,passenger_car,103
Pori,2018-04-01 01:04:18,1,passenger_car,107
Nakkila,2018-04-01 01:04:18,2,passenger_car,94
Pori,2018-04-01 01:04:20,1,passenger_car,102
Nakkila,2018-04-01 01:04:53,2,passenger_car,84
Nakkila,2018-04-01 01:05:20,1,passenger_car,83
Nakkila,2018-04-01 01:05:23,2,passenger_car,75
Vihti,2018-04-01 01:05:31,1,passenger_car,106
Pori,2018-04-01 01:05:33,1,passenger_car,98
Karkkila,2018-04-01 01:05:35,1,passenger_car,95
Pori,2018-04-01 01:05:35,2,passenger_car,104
Nakkila,2018-04-01 01:05:50,2,passenger_car,85
Pori,2018-04-01 01:05:50,2,passenger_car,101
Pori,2018-04-01 01:06:05,2,passenger_car,123
Pori,2018-04-01 01:06:08,1,passenger_car,91
Vihti,2018-04-01 01:06:11,1,passenger_car,103
Pori,2018-04-01 01:06:16,1,passenger_car,102
Nakkila,2018-04-01 01:06:36,1,passenger_car,80
Nakkila,2018-04-01 01:06:49,1,"truck, semitrailer",82
Nakkila,2018-04-01 01:06:49,2,passenger_car,86
Vihti,2018-04-01 01:06:50,2,passenger_car,94
Vihti,2018-04-01 01:06:58,2,passenger_car,97
Pori,2018-04-01 01:07:10,2,passenger_car,106
Nakkila,2018-04-01 01:07:26,1,passenger_car,81
Pori,2018-04-01 01:07:31,1,passenger_car,102
Vihti,2018-04-01 01:07:31,1,passenger_car,82
Pori,2018-04-01 01:07:41,1,passenger_car,101
Pori,2018-04-01 01:07:47,1,passenger_car,99
Nakkila,2018-04-01 01:07:56,1,passenger_car,84
Vihti,2018-04-01 01:08:19,2,passenger_car,99
Nakkila,2018-04-01 01:08:32,1,passenger_car,76
Pori,2018-04-01 01:08:33,2,passenger_car,102
Vihti,2018-04-01 01:08:41,2,passenger_car,118
Pori,2018-04-01 01:08:43,2,passenger_car,103
Karkkila,2018-04-01 01:08:47,1,passenger_car,82
Karkkila,2018-04-01 01:08:50,1,passenger_car,84
Pori,2018-04-01 01:09:20,1,passenger_car,80
Pori,2018-04-01 01:09:41,1,passenger_car,98
Vihti,2018-04-01 01:09:48,2,passenger_car,106
Vihti,2018-04-01 01:09:50,1,passenger_car,100
Pori,2018-04-01 01:10:15,1,passenger_car,77
Nakkila,2018-04-01 01:10:27,2,passenger_car,72
Pori,2018-04-01 01:10:30,2,passenger_car,123
